Year,Platform,0
2020,GC,1
2020,PS,1
2020,GBA,1
2021,PC,236
2021,Switch,204
2021,PS4,93
2021,PS5,93
2021,Xbox Series X,56
2021,XOne,34
2021,X360,6
2021,DS,6
2021,PS2,5
2021,PS3,3
2021,GC,3
2021,3DS,2
2021,GBA,1
2021,Wii,1
